Year,x,y,Age,Species,Management,N,Stool,AvDBH,Height,Wf,Wrc,Wrf,Ws,Wbb,Wres,Lai
1997,0,0,NA,Picea abies,T,512,0,26.1140625,24.111328125,0,0,0,0,0,0,NA
1997,0,0,NA,Pinus silvestrys,T,12,0,27.6666666666667,25.2166666666667,0,0,0,0,0,0,NA
1997,0,0,NA,Fagus sylvatica,T,324,0,20.591975308642,23.0271604938272,0,0,0,0,0,0,NA

1999,0,0,NA,Picea abies,T,502,0,27.1019920318725,NA,0,0,0,0,0,0,NA
1999,0,0,NA,Pinus silvestrys,T,12,0,28.1333333333333,NA,0,0,0,0,0,0,NA
1999,0,0,NA,Fagus sylvatica,T,292,0,21.9602739726027,NA,0,0,0,0,0,0,NA

2001,0,0,NA,Picea abies,T,488,0,28.3372950819672,NA,0,0,0,0,0,0,NA
2001,0,0,NA,Pinus silvestrys,T,12,0,28.6333333333333,NA,0,0,0,0,0,0,NA
2001,0,0,NA,Fagus sylvatica,T,270,0,23.0214814814815,NA,0,0,0,0,0,0,NA

2003,0,0,NA,Picea abies,T,474,0,29.3599156118143,NA,0,0,0,0,0,0,NA
2003,0,0,NA,Pinus silvestrys,T,12,0,29.0666666666667,NA,0,0,0,0,0,0,NA
2003,0,0,NA,Fagus sylvatica,T,260,0,23.7523076923077,NA,0,0,0,0,0,0,NA

2005,0,0,NA,Picea abies,T,448,0,30.6178571428571,NA,0,0,0,0,0,0,NA
2005,0,0,NA,Pinus silvestrys,T,12,0,29.4666666666667,NA,0,0,0,0,0,0,NA
2005,0,0,NA,Fagus sylvatica,T,240,0,24.3775,NA,0,0,0,0,0,0,NA

2007,0,0,NA,Picea abies,T,438,0,31.6547945205479,NA,0,0,0,0,0,0,NA
2007,0,0,NA,Pinus silvestrys,T,10,0,31,NA,0,0,0,0,0,0,NA
2007,0,0,NA,Fagus sylvatica,T,228,0,25.2964912280702,NA,0,0,0,0,0,0,NA

2009,0,0,NA,Picea abies,T,434,0,32.4082949308756,NA,0,0,0,0,0,0,NA
2009,0,0,NA,Pinus silvestrys,T,10,0,31.22,NA,0,0,0,0,0,0,NA
2009,0,0,NA,Fagus sylvatica,T,228,0,25.6578947368421,NA,0,0,0,0,0,0,NA

2010,0,0,NA,Picea abies,T,434,0,32.9225806451613,NA,0,0,0,0,0,0,NA
2010,0,0,NA,Pinus silvestrys,T,8,0,31.325,NA,0,0,0,0,0,0,NA
2010,0,0,NA,Fagus sylvatica,T,220,0,26.3190909090909,NA,0,0,0,0,0,0,NA

